lga_code,lga_name,erp_2025,lga_key,sites,plugs,region,plugs_per_10k
16380,Port Macquarie-Hastings,92432.0,port macquarie hastings,24.0,101.0,Rest of NSW,10.926951705037217
16400,Port Stephens,80070.0,port stephens,22.0,80.0,Rest of NSW,9.991257649556637
16490,Queanbeyan-Palerang,67633.0,queanbeyan palerang,12.0,53.0,Rest of NSW,7.836411219375157
16550,Randwick,146484.0,randwick,89.0,165.0,Greater Sydney,11.26402883591382
16610,Richmond Valley,24044.0,richmond valley,8.0,28.0,Rest of NSW,11.645316918981866
16700,Ryde,141693.0,ryde,13.0,52.0,Greater Sydney,3.6699060645197714
16900,Shellharbour,83228.0,shellharbour,11.0,38.0,Rest of NSW,4.565771134714279
16950,Shoalhaven,111755.0,shoalhaven,50.0,122.0,Rest of NSW,10.91673750615185
17000,Singleton,25841.0,singleton,20.0,42.0,Rest of NSW,16.25324097364653
17040,Snowy Monaro,22396.0,snowy monaro,20.0,83.0,Rest of NSW,37.06018931952134
17080,Snowy Valleys,15058.0,snowy valleys,15.0,40.0,Rest of NSW,26.563952716164167
17100,Strathfield,49203.0,strathfield,11.0,25.0,Greater Sydney,5.080990996483955
17150,Sutherland,241327.0,sutherland,11.0,33.0,Greater Sydney,1.367439200752506
17200,Sydney,241797.0,sydney,79.0,249.0,Greater Sydney,10.297894514820284
17310,Tamworth,66403.0,tamworth,13.0,39.0,Rest of NSW,5.873228619188891
17350,Temora,6050.0,temora,2.0,6.0,Rest of NSW,9.917355371900827
17400,Tenterfield,7188.0,tenterfield,5.0,12.0,Rest of NSW,16.69449081803005
17420,The Hills,222675.0,hills,18.0,50.0,Greater Sydney,2.2454249466711573
17550,Tweed,101044.0,tweed,16.0,47.0,Rest of NSW,4.651438977079292
17620,Upper Hunter,14425.0,upper hunter,4.0,9.0,Rest of NSW,6.239168110918545
17640,Upper Lachlan,9005.0,upper lachlan,1.0,2.0,Rest of NSW,2.2209883398112162
17650,Uralla,6179.0,uralla,1.0,4.0,Rest of NSW,6.4735394076711446
17750,Wagga Wagga,69108.0,wagga wagga,19.0,48.0,Rest of NSW,6.945650286508074
17850,Walcha,2989.0,walcha,2.0,5.0,Rest of NSW,16.72800267648043
17900,Walgett,5437.0,walgett,2.0,6.0,Rest of NSW,11.03549751701306
17950,Warren,2606.0,warren,0.0,0.0,Rest of NSW,0.0
18020,Warrumbungle,9246.0,warrumbungle,4.0,6.0,Rest of NSW,6.489292667099286
18050,Waverley,73345.0,waverley,71.0,116.0,Greater Sydney,15.81566568954939
18100,Weddin,3558.0,weddin,2.0,4.0,Rest of NSW,11.242270938729623
18200,Wentworth,7982.0,wentworth,6.0,11.0,Rest of NSW,13.781007266349286
18250,Willoughby,80520.0,willoughby,27.0,72.0,Greater Sydney,8.941877794336811
18350,Wingecarribee,53840.0,wingecarribee,23.0,63.0,Rest of NSW,11.701337295690935
18400,Wollondilly,62080.0,wollondilly,6.0,29.0,Greater Sydney,4.671391752577319
18450,Wollongong,224327.0,wollongong,38.0,118.0,Rest of NSW,5.260178221970606
18500,Woollahra,55218.0,woollahra,52.0,91.0,Greater Sydney,16.480133289869247
18710,Yass Valley,17663.0,yass valley,8.0,28.0,Rest of NSW,15.852346713468833
19399,Unincorporated NSW,975.0,unincorporated,0.0,0.0,Rest of NSW,0.0
